FID,OBJECTID,Id,categ,pend_porc,Fuente,id_pend,COD_COB25_,NOM_COB25,SIM_COB25,GEOLOGIA_1,GEOLOGIA_2,LATITUD_Y,LONGITUD_X,Elevacion,Pendiente,NOMBRE,CODIGO,DATO_ID,FECHA1,FECHA2,CONCAT,Long,Lat,ESTACIÓN,P_24H__mm_,P_3DIAS__m,P_7DIAS__m,P_10DIAS__,P15DIAS__m,P30DIAS__m,P60DIAS__m,P90DIAS__m
14,15,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,31311,Bosque mixto fragmentado con pastos y cultivos,BNFPNC,TOf,Formacion Ferreira,3.359665728,-76.56178535,1074.297241,13.7524519,LA RIVERITA,2622310103,15,1/12/2018 0:00,1/12/2018 0:00,1/12/2018LA RIVERITA,-76.56178535,3.359665728,LA RIVERITA,3,3,55.9,71.7,174.4,273.4,496.2,641.3
15,16,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,41120,Ríos,RIO,Qca2(RPan),Cono aluvial 2 rio Pance,3.321812269,-76.55053865,1024.527344,16.12051964,LA RIVERITA,2622310103,16,2/28/2018 0:00,2/28/2018 0:00,2/28/2018LA RIVERITA,-76.55053865,3.321812269,LA RIVERITA,0,0,22.9,44.4,73.5,309.6,504.4,619.9
16,17,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,32310,Vegetación secundaria o transición,VEGSEC,TOf,Formacion Ferreira,3.350238341,-76.56896588,1207.314087,24.05542946,LA RIVERITA,2622310103,17,7/13/2018 0:00,7/13/2018 0:00,7/13/2018LA RIVERITA,-76.56896588,3.350238341,LA RIVERITA,0,0,2.4,2.4,9.9,23.3,208.2,353.9
17,18,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23171,Pasto cultivado arbolado,PCUAR,TQj,Formacion Jamundi,3.319631756,-76.55940448,1125.481201,9.575073242,LA RIVERITA,2622310103,18,1/14/2018 0:00,1/14/2018 0:00,1/14/2018LA RIVERITA,-76.55940448,3.319631756,LA RIVERITA,6,22,42,75.1,120.5,280.8,495.9,654.7
18,19,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.450063785,-76.54375937,1008.431885,14.47581387,PLANTA RIO CALI,2622400103,19,1/19/2017 0:00,1/19/2017 0:00,1/19/2017PLANTA RIO CALI,-76.54375937,3.450063785,PLANTA RIO CALI,0,6,9.6,18,55.1,108.8,174.3,256.1
19,20,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23171,Pasto cultivado arbolado,PCUAR,Qca1(RPan),Cono aluvial 1 rio Pance,3.354738044,-76.55111496,1066.57605,3.015621424,LA RIVERITA,2622310103,20,1/8/2018 0:00,1/8/2018 0:00,1/8/2018LA RIVERITA,-76.55111496,3.354738044,LA RIVERITA,0,33,48.6,127.6,247.9,266.8,488.4,638.1
20,21,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31111,Bosque mixto denso alto de tierra firme,BNDALT,Ql/Kv,Lateritas Formacion Volcanica,3.429644379,-76.60001925,1729.407593,30.59772873,YANACONAS,2622410102,21,1/4/2018 0:00,1/4/2018 0:00,1/4/2018YANACONAS,-76.60001925,3.429644379,YANACONAS,6,25,129,202,222,245,431,644
21,22,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,32211,Arbustal y matorral abierto bajo de tierra firme,ABAFBA,Qca2(RPan),Cono aluvial 2 rio Pance,3.346013038,-76.56057834,1117.258301,32.99697876,LA RIVERITA,2622310103,22,1/17/2018 0:00,1/17/2018 0:00,1/17/2018LA RIVERITA,-76.56057834,3.346013038,LA RIVERITA,0,25,47,67,116.1,303.7,518.3,679.6
22,23,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11211,Zonas urbanas discontinuas,ZUD,Kv,Formacion Volcanica,3.441937953,-76.55704816,1154.147583,36.52463913,PLANTA RIO CALI,2622400103,23,8/1/2003 0:00,8/1/2003 0:00,8/1/2003PLANTA RIO CALI,-76.55704816,3.441937953,PLANTA RIO CALI,12,20,25,25,27,45,223,406
23,24,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,23170,Pasto cultivado,PCU,Ql/Kv,Lateritas Formacion Volcanica,3.521254812,-76.61426173,1910.642944,6.284516335,SAN PABLO,2622420102,24,2/26/2020 0:00,2/26/2020 0:00,2/26/2020AGUACATAL,-76.61426173,3.521254812,AGUACATAL,0,15,79.2,79.2,85.4,114,241.8,302.2
24,25,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,12211,Otras superficies artificiales sin construcción,OISC,Kv,Formacion Volcanica,3.438580116,-76.54588113,996.7855835,23.88170433,PLANTA RIO CALI,2622400103,25,2/5/2017 0:00,2/5/2017 0:00,2/5/2017PLANTA RIO CALI,-76.54588113,3.438580116,PLANTA RIO CALI,0,0,0.6,18.4,18.4,63.9,152.1,233.9
25,26,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23170,Pasto cultivado,PCU,TQj,Formacion Jamundi,3.32943486,-76.5562211,1044.850708,13.02233124,LA RIVERITA,2622310103,26,5/1/2018 0:00,5/1/2018 0:00,5/1/2018LA RIVERITA,-76.5562211,3.32943486,LA RIVERITA,0,12,24.6,79.3,103,136.7,247.1,477.9
26,27,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11211,Zonas urbanas discontinuas,ZUD,Ql/Kv,Lateritas Formacion Volcanica,3.375389784,-76.59523234,1500.505249,13.16997337,LILI - SAN SEBASTIAN,2622310201,27,2/5/2016 0:00,2/5/2016 0:00,2/5/2016LILI - SAN SEBASTIAN,-76.59523234,3.375389784,LILI - SAN SEBASTIAN,0,1,0.6,3.2,26.6,36,65.2,138.4
27,28,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.440244817,-76.54196753,1017.470947,13.60008812,PLANTA RIO CALI,2622400103,28,1/8/2015 0:00,1/8/2015 0:00,1/8/2015PLANTA RIO CALI,-76.54196753,3.440244817,PLANTA RIO CALI,0,0,0,0,0.2,62.2,262.2,512.4
28,29,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,32310,Vegetación secundaria o transición,VEGSEC,Ql/Kv,Lateritas Formacion Volcanica,3.392126206,-76.58526178,1270.673706,4.419974804,LA FONDA,2622320101,29,8/22/1993 0:00,8/22/1993 0:00,8/22/1993LA FONDA CANTA CLARO,-76.58526178,3.392126206,LA FONDA CANTA CLARO,0,0,5,5,10.1,13.1,95.1,197.1
29,30,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Qca(RMel),Cono aluvial rio Melendez,3.390070835,-76.55270507,973.3988037,9.958462715,NAPOLES,2622330108,30,2/9/2019 0:00,2/9/2019 0:00,2/9/2019NAPOLES,-76.55270507,3.390070835,NAPOLES,4,27,26.8,36.7,37.2,49,80.8,332.3
30,31,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,31112,Bosque mixto denso bajo de tierra firme,BNDBAJ,Kv,Formacion Volcanica,3.408660079,-76.56960872,996.5200806,14.39875317,IDEAS,2622330111,31,8/2/2016 0:00,8/2/2016 0:00,8/2/2016IDEAS,-76.56960872,3.408660079,IDEAS,0,0,22.2,23.9,24.1,26.7,139.3,346.8
31,32,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23171,Pasto cultivado arbolado,PCUAR,TOf,Formacion Ferreira,3.352528796,-76.5616157,1128.252441,21.77400589,LA RIVERITA,2622310103,32,8/19/2018 0:00,8/19/2018 0:00,8/19/2018LA RIVERITA,-76.5616157,3.352528796,LA RIVERITA,0,0,3.9,3.9,8.8,30,53.9,247.2
32,33,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,23170,Pasto cultivado,PCU,Ql/Kv,Lateritas Formacion Volcanica,3.410740381,-76.57907075,1047.14502,17.4618721,IDEAS,2622330111,33,8/7/2016 0:00,8/7/2016 0:00,8/7/2016IDEAS,-76.57907075,3.410740381,IDEAS,1,1,1.2,1.3,25.1,25.4,123.7,272.6
33,34,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.444607252,-76.5377425,991.2512207,7.668447018,COLEGIO SAN JUAN BOSCO,2622330101,34,1/5/2016 0:00,1/5/2016 0:00,1/5/2016PLANTA RIO CALI,-76.5377425,3.444607252,PLANTA RIO CALI,2,3,7.8,7.8,8.6,14.8,54,91.5
34,35,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23170,Pasto cultivado,PCU,TOf,Formacion Ferreira,3.35198815,-76.57332814,1228.610352,41.85974121,LA RIVERITA,2622310103,35,8/24/2018 0:00,8/24/2018 0:00,8/24/2018LA RIVERITA,-76.57332814,3.35198815,LA RIVERITA,1,1,0.9,0.9,4.9,30.8,53.2,135
35,36,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11211,Zonas urbanas discontinuas,ZUD,Kv,Formacion Volcanica,3.442270306,-76.55677103,1141.054199,36.25120544,PLANTA RIO CALI,2622400103,36,1/26/2015 0:00,1/26/2015 0:00,1/26/2015PLANTA RIO CALI,-76.55677103,3.442270306,PLANTA RIO CALI,0,0,16.4,36,93.4,93.6,171,445.4
36,37,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,12111,Otras superficies artificiales con construcción,OICC,Qca2(RPan),Cono aluvial 2 rio Pance,3.341788887,-76.5955297,1288.595215,41.48134232,PANCE - CHORRERA,2622110103,37,2/20/2018 0:00,2/20/2018 0:00,2/20/2018PANCE - CHORRERA,-76.5955297,3.341788887,PANCE - CHORRERA,0,43,89,91.8,133.6,154,464.2,607.4
37,38,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31112,Bosque mixto denso bajo de tierra firme,BNDBAJ,TQj,Formacion Jamundi,3.310077421,-76.5758268,1098.149658,27.02991486,PANCE - CHORRERA,2622110103,38,1/5/2018 0:00,1/5/2018 0:00,1/5/2018PANCE - CHORRERA,-76.5758268,3.310077421,PANCE - CHORRERA,0,19,98.2,131,176,256,551.4,753
38,39,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23171,Pasto cultivado arbolado,PCUAR,TQj,Formacion Jamundi,3.314028803,-76.55069174,1007.788208,14.78355789,EL PALACIO,2622100102,39,1/31/2016 0:00,1/31/2016 0:00,1/31/2016EL PALACIO,-76.55069174,3.314028803,EL PALACIO,0,30,30,32,32,51,58,192.3
39,40,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23170,Pasto cultivado,PCU,TQj,Formacion Jamundi,3.306477403,-76.56393857,1010.412231,10.90186024,JAMUNDI,2622100202,40,2/23/2023 0:00,2/23/2023 0:00,2/23/2023EL PALACIO,-76.56393857,3.306477403,EL PALACIO,0,0,12,32,46,47,210,261
40,41,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,23170,Pasto cultivado,PCU,Ql/Kv,Lateritas Formacion Volcanica,3.515321101,-76.60481003,1690.444214,24.46246338,AGUACATAL,2622420103,41,1/1/2003 0:00,1/1/2003 0:00,1/1/2003AGUACATAL,-76.60481003,3.515321101,AGUACATAL,0,6,9,17,37,147,242,453
41,42,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Ql/Kv,Lateritas Formacion Volcanica,3.385949759,-76.55632292,989.3607788,8.260444641,NAPOLES,2622330108,42,2/1/2016 0:00,2/1/2016 0:00,2/1/2016NAPOLES,-76.55632292,3.385949759,NAPOLES,0,0,2.3,13.1,13.1,29.3,39.4,205
42,43,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31212,Bosque mixto abierto bajo de tierra firme,BNABAJ,TQj,Formacion Jamundi,3.326272013,-76.55613464,1074.321167,11.50967598,LA RIVERITA,2622310103,43,2/21/2017 0:00,2/21/2017 0:00,2/21/2017LA RIVERITA,-76.55613464,3.326272013,LA RIVERITA,0,4,11.9,51.1,56.9,71.1,223.9,350.3
43,44,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,31112,Bosque mixto denso bajo de tierra firme,BNDBAJ,Ql/Kv,Lateritas Formacion Volcanica,3.412648201,-76.5912437,1305.648315,9.960211754,LAS BRISAS,2622330106,44,1/18/2015 0:00,1/18/2015 0:00,1/18/2015LAS BRISAS,-76.5912437,3.412648201,LAS BRISAS,0,0,6,21,24,24,188,630
44,45,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31311,Bosque mixto fragmentado con pastos y cultivos,BNFPNC,Qca1(RPan),Cono aluvial 1 rio Pance,3.353312427,-76.54837845,1044.550781,13.03767681,LA RIVERITA,2622310103,45,8/29/2018 0:00,8/29/2018 0:00,8/29/2018LA RIVERITA,-76.54837845,3.353312427,LA RIVERITA,0,0,1,1,1,29.7,53.2,130.3
45,46,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,23171,Pasto cultivado arbolado,PCUAR,Ql/Kv,Lateritas Formacion Volcanica,3.516126062,-76.61010633,1779.751709,33.93012619,AGUACATAL,2622420103,46,1/7/2023 0:00,1/7/2023 0:00,1/7/2023AGUACATAL,-76.61010633,3.516126062,AGUACATAL,0,0,0,0,70.2,77.8,278.2,499.4
46,47,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31111,Bosque mixto denso alto de tierra firme,BNDALT,Kv,Formacion Volcanica,3.444860678,-76.60115715,1386.967896,18.28783607,YANACONAS,2622410102,47,1/9/2017 0:00,1/9/2017 0:00,1/9/2017YANACONAS,-76.60115715,3.444860678,YANACONAS,3,59,74,74,111,198,428,579
47,48,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Qal,Depositos aluviales,3.414257973,-76.55738061,978.4386597,13.12144184,IDEAS,2622330111,48,1/30/2019 0:00,1/30/2019 0:00,1/30/2019IDEAS,-76.55738061,3.414257973,IDEAS,0,0,0,0.1,10.7,42.9,99.2,247.7
48,49,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Ql/Kv,Lateritas Formacion Volcanica,3.386361914,-76.55606088,985.0149536,11.15960884,NAPOLES,2622330108,49,2/14/2016 0:00,2/14/2016 0:00,2/14/2016NAPOLES,-76.55606088,3.386361914,NAPOLES,0,0,0,0,2.3,13.2,39.2,111.7
49,50,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.408327368,-76.5748718,1017.619995,14.80475903,IDEAS,2622330111,50,1/28/2019 0:00,1/28/2019 0:00,1/28/2019IDEAS,-76.5748718,3.408327368,IDEAS,0,0,0,4.7,5.1,36.9,111.8,255.4
50,51,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,24140,Misceláneo de cultivos y espacios naturales,MSCULV,Kv,Formacion Volcanica,3.380941134,-76.61542634,1641.373657,14.47931862,EL CARMELO,2622320104,51,8/7/2017 0:00,8/7/2017 0:00,8/7/2017EL CARMELO,-76.61542634,3.380941134,EL CARMELO,0,0,0,0,2.8,44.2,239,433.4
51,52,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,41120,Ríos,RIO,Qca2(RPan),Cono aluvial 2 rio Pance,3.315731645,-76.54521058,1003.26886,18.954813,EL PALACIO,2622100102,52,2/2/2017 0:00,2/2/2017 0:00,2/2/2017EL PALACIO,-76.54521058,3.315731645,EL PALACIO,0,0,35,42,42,140,311,417
52,53,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31112,Bosque mixto denso bajo de tierra firme,BNDBAJ,Qca1(RPan),Cono aluvial 1 rio Pance,3.363480835,-76.54627453,1012.471741,14.42041779,LA RIVERITA,2622310103,53,8/24/2018 0:00,8/24/2018 0:00,8/24/2018LA RIVERITA,-76.54627453,3.363480835,LA RIVERITA,1,1,0.9,0.9,4.9,30.8,53.2,135
53,54,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23171,Pasto cultivado arbolado,PCUAR,TQj,Formacion Jamundi,3.300344691,-76.56886181,1018.263611,49.86513519,JAMUNDI,2622100202,54,1/12/2018 0:00,1/12/2018 0:00,1/12/2018EL PALACIO,-76.56886181,3.300344691,EL PALACIO,20,30,53,53,116,156,460,534
54,55,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,23170,Pasto cultivado,PCU,Kv,Formacion Volcanica,3.528949512,-76.61298986,1940.115356,73.80082703,SAN PABLO,2622420102,55,2/2/2016 0:00,2/2/2016 0:00,2/2/2016AGUACATAL,-76.61298986,3.528949512,AGUACATAL,0,0,1.4,1.8,3.8,8,39.4,149.4
55,56,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,31311,Bosque mixto fragmentado con pastos y cultivos,BNFPNC,Qca1(RPan),Cono aluvial 1 rio Pance,3.359886087,-76.554209,1050.448364,10.89566135,LA RIVERITA,2622310103,56,8/27/2018 0:00,8/27/2018 0:00,8/27/2018LA RIVERITA,-76.554209,3.359886087,LA RIVERITA,0,0,1,1,4.9,30.3,53.2,135.1
56,57,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,23171,Pasto cultivado arbolado,PCUAR,Ql/Kv,Lateritas Formacion Volcanica,3.522097057,-76.60860143,1810.050293,46.94671631,SAN PABLO,2622420102,57,2/15/2016 0:00,2/15/2016 0:00,2/15/2016AGUACATAL,-76.60860143,3.522097057,AGUACATAL,0,1,1.6,1.6,2.4,6.2,23,119.2
57,58,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,31352,Bosque de guadua,BG,Qca2(RPan),Cono aluvial 2 rio Pance,3.343698639,-76.55279826,1100.737061,11.32210255,LA RIVERITA,2622310103,58,1/12/2019 0:00,1/12/2019 0:00,1/12/2019LA RIVERITA,-76.55279826,3.343698639,LA RIVERITA,0,0,24.5,24.5,34,226.2,366.1,472.5
58,59,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,32211,Arbustal y matorral abierto bajo de tierra firme,ABAFBA,TQj,Formacion Jamundi,3.335927003,-76.56558125,1131.280273,27.80568504,LA RIVERITA,2622310103,59,1/11/2019 0:00,1/11/2019 0:00,1/11/2019LA RIVERITA,-76.56558125,3.335927003,LA RIVERITA,0,6,24.5,24.5,24.5,218.3,366.2,472.5
59,60,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,23172,Pasto cultivado enmalezado,PCURA,Kv,Formacion Volcanica,3.430975679,-76.55170339,1058.733154,28.83691978,PLANTA RIO CALI,2622400103,60,1/5/2016 0:00,1/5/2016 0:00,1/5/2016PLANTA RIO CALI,-76.55170339,3.430975679,PLANTA RIO CALI,2,3,7.8,7.8,8.6,14.8,54,91.5
60,61,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23170,Pasto cultivado,PCU,Kv,Formacion Volcanica,3.448980904,-76.57464588,1097.686646,9.368485451,CALI - BOCATOMA,2622400106,61,1/18/2018 0:00,1/18/2018 0:00,1/18/2018CALI - BOCATOMA,-76.57464588,3.448980904,CALI - BOCATOMA,0,7,35.4,35.4,38.6,184,259.6,535.4
61,62,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Qca(RMel),Cono aluvial rio Melendez,3.387737621,-76.55152837,976.8043823,7.293067932,NAPOLES,2622330108,62,1/4/2017 0:00,1/4/2017 0:00,1/4/2017NAPOLES,-76.55152837,3.387737621,NAPOLES,0,0,30.9,31,50.7,123.8,219.3,331.5
62,63,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Qca(RMel),Cono aluvial rio Melendez,3.389446229,-76.55503609,976.5458984,2.758006096,NAPOLES,2622330108,63,1/24/2018 0:00,1/24/2018 0:00,1/24/2018NAPOLES,-76.55503609,3.389446229,NAPOLES,0,1,1.3,27.8,45.4,215.3,394,536.5
63,64,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,32211,Arbustal y matorral abierto bajo de tierra firme,ABAFBA,TQj,Formacion Jamundi,3.322134304,-76.55358564,1027.085571,19.95045853,LA RIVERITA,2622310103,64,1/11/2019 0:00,1/11/2019 0:00,1/11/2019LA RIVERITA,-76.55358564,3.322134304,LA RIVERITA,0,6,24.5,24.5,24.5,218.3,366.2,472.5
64,65,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Qca,Conos aluviales,3.461291024,-76.53278929,984.7529907,4.620991707,COLEGIO SAN LUIS,2622400101,65,1/31/2015 0:00,1/31/2015 0:00,1/31/2015COLEGIO SAN LUIS,-76.53278929,3.461291024,COLEGIO SAN LUIS,0,0,0,0,0,0,17.4,44
