ELEVACION,PENDIENT,zonificacion,Nomenclatura_del_Suelo,tipo_geologia,24h,7d,10d,15d,30d,60d,90d,deslizamientos
1186.78186,31.21404457,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,0.0,0.0,0.0,2.0,10.7,27.5,194.4,0
1035.735718,52.07505798,Riesgo bajo,Zonas urbanas continuas,Formacion Guachinte,1.0,76.0,88.0,100.0,162.0,276.0,384.0,1
1097.927856,15.42373085,Amenaza baja,Bosque mixto fragmentado con vegetación natural,Formacion Jamundi,0.0,1.4,46.5,46.5,50.8,80.6,103.2,0
1041.484009,6.249706745,Riesgo bajo,Zonas urbanas discontinuas,Cono aluvial 1 rio Pance,4.0,40.3,66.4,87.4,137.5,358.4,533.8,0
1010.32843,10.78195381,Amenaza baja,Pasto cultivado,Formacion Jamundi,0.0,6.0,6.0,16.0,65.0,181.0,449.0,0
979.9776611,1.505561113,Riesgo bajo,Zonas urbanas continuas,Cono aluvial rio Melendez,0.0,28.4,28.4,56.5,79.1,197.2,340.3,0
988.8447876,26.6015625,Riesgo bajo,Zonas urbanas continuas,Formacion Guachinte,5.0,11.0,49.0,96.0,151.0,423.0,533.0,0
982.942749,22.5557785,Riesgo bajo,Zonas urbanas continuas,Formacion Guachinte,0.0,31.6,46.0,132.4,195.5,409.8,560.0,1
1053.134277,68.53347015,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,14.0,197.0,210.0,366.0,583.0,746.0,908.0,1
1980.429199,94.63062286,Riesgo bajo,Pasto cultivado arbolado,Formacion Volcanica,0.0,115.0,148.0,254.0,361.0,487.0,596.0,1
1654.293213,4.839818478,Riesgo bajo,Zonas urbanas continuas,Lateritas Formacion Volcanica,0.0,28.6,31.0,31.4,51.8,184.4,466.0,0
1109.409546,91.34342194,Riesgo alto,Zonas urbanas discontinuas,Formacion Guachinte,0.0,41.0,87.0,116.0,364.0,800.0,972.0,1
1004.905029,29.22118759,Amenaza baja,Bosque mixto abierto bajo de tierra firme,Formacion Jamundi,0.0,8.0,9.0,9.0,96.0,234.0,410.6,0
1169.499756,13.22610474,Riesgo alto,Otras asociaciones de cultivos,Lateritas Formacion Volcanica,4.0,171.0,173.0,315.0,458.0,540.0,698.0,1
1365.971558,18.5875473,Riesgo bajo,Pasto cultivado arbolado,Lateritas Formacion Volcanica,0.0,12.0,21.0,31.0,79.0,126.0,172.0,0
1713.50647,19.3098259,Riesgo bajo,Zonas urbanas discontinuas,Formacion Volcanica,0.0,4.8,4.8,44.0,63.0,357.4,502.6,0
1029.88916,68.71858978,Riesgo alto,Zonas urbanas continuas,Lateritas Formacion Volcanica,14.6,23.9,78.0,158.5,241.6,285.4,499.0,1
1172.414429,33.99778748,Riesgo medio,Otras asociaciones de cultivos,Lateritas Formacion Volcanica,4.0,171.0,173.0,315.0,458.0,540.0,698.0,1
1148.419189,28.73257828,Amenaza baja,Arbustal y matorral abierto bajo de tierra firme,Formacion Jamundi,2.0,5.2,5.2,6.6,51.8,71.7,108.2,0
1344.461304,25.96161461,Riesgo bajo,Zonas urbanas continuas,Lateritas Formacion Volcanica,13.0,124.0,143.0,263.0,365.0,453.0,642.0,1
1013.19989,58.08582687,Riesgo medio,Otras superficies artificiales sin construcción,Formacion Volcanica,0.0,11.0,50.0,76.0,144.0,367.0,527.0,1
1028.809448,28.11426735,Riesgo medio,Zonas urbanas continuas,Formacion Volcanica,0.0,182.0,207.0,244.0,566.0,735.0,878.0,1
1096.610596,52.12046051,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,4.0,171.0,173.0,315.0,458.0,540.0,698.0,1
983.1633911,13.13038445,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,1.2,100.8,113.0,205.0,315.2,386.6,530.0,1
1176.099365,57.07576752,Riesgo alto,Zonas urbanas continuas,Formacion Guachinte,7.6,83.5,110.0,213.5,343.7,452.1,531.0,1
1058.672974,56.15089798,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,0.0,18.0,28.0,220.0,431.0,753.0,859.0,1
998.8415527,7.654489517,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,4.0,64.0,80.0,367.0,562.0,606.0,764.0,1
1075.591187,12.37002563,Riesgo medio,Zonas urbanas continuas,Formacion Volcanica,0.4,27.8,28.0,99.6,177.6,212.6,271.0,1
1073.85022,53.50439072,Riesgo alto,Zonas urbanas continuas,Formacion Guachinte,16.7,24.9,27.0,52.3,207.7,299.9,398.0,1
1048.901489,74.6686554,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,10.0,193.0,218.0,311.0,583.0,735.0,918.0,1
1921.237183,58.98408127,Amenaza alta,Pasto cultivado arbolado,Formacion Volcanica,5.0,74.0,91.0,102.0,182.0,272.0,364.0,1
1456.752441,8.767216682,Riesgo medio,Zonas urbanas continuas,Lateritas Formacion Volcanica,8.0,61.0,61.0,84.0,92.0,84.0,165.0,1
1072.87854,45.95119095,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,14.0,197.0,210.0,366.0,583.0,746.0,908.0,1
1097.686646,9.368485451,Amenaza baja,Pasto cultivado,Formacion Volcanica,0.0,35.4,35.4,38.6,184.0,259.6,535.4,0
1022.48407,8.349160194,Amenaza baja,Bosque de guadua,Cono aluvial 2 rio Pance,0.0,17.0,17.0,17.0,61.0,118.0,248.0,0
1071.051514,16.48756409,Riesgo alto,Otras superficies artificiales sin construcción,Formacion Volcanica,10.0,193.0,218.0,311.0,583.0,735.0,918.0,1
1067.003418,9.293491364,Riesgo bajo,Otras superficies artificiales con construcción,Cono aluvial 2 rio Pance,0.0,0.0,7.7,46.5,49.8,80.5,103.1,0
1447.260254,24.25785446,Riesgo bajo,Zonas urbanas continuas,Lateritas Formacion Volcanica,0.0,88.0,92.0,163.0,234.0,265.0,349.0,1
1076.750854,50.92945862,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,54.0,79.0,137.0,249.0,408.0,535.0,743.0,1
1657.118408,47.16747665,Amenaza baja,Bosque mixto abierto alto de tierra firme,Formacion Volcanica,0.0,26.0,42.0,53.0,93.0,198.0,293.0,1
1011.954834,39.04415894,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,10.0,193.0,218.0,311.0,583.0,735.0,918.0,1
1088.462769,16.61114502,Riesgo medio,Zonas urbanas continuas,Formacion Volcanica,0.0,9.0,9.0,18.0,121.0,309.0,567.0,1
1012.72052,21.29816628,Riesgo bajo,Zonas urbanas continuas,Cono aluvial 1 rio Pance,0.0,0.0,0.2,31.6,54.3,282.2,437.4,0
1094.031372,17.56897354,Amenaza baja,Pasto cultivado arbolado,Formacion Jamundi,2.0,2.0,2.0,35.0,64.0,69.0,390.0,0
1082.276611,54.72680283,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,10.0,193.0,218.0,311.0,583.0,735.0,918.0,1
1459.782104,41.90071869,Riesgo medio,Zonas urbanas continuas,Lateritas Formacion Volcanica,3.0,10.0,10.0,11.0,20.0,23.0,133.0,1
1507.419189,46.02421188,Riesgo bajo,Zonas urbanas discontinuas,Lateritas Formacion Volcanica,0.0,28.0,47.0,50.0,102.0,281.0,409.0,0
1312.049683,36.69968414,Riesgo bajo,Zonas urbanas discontinuas,Lateritas Formacion Volcanica,0.0,0.0,0.0,16.0,32.0,94.0,416.0,0
1041.295288,18.44807434,Riesgo bajo,Zonas urbanas continuas,Lateritas Formacion Volcanica,1.2,100.8,113.0,205.0,315.2,386.6,530.0,1
1083.828613,18.93263054,Amenaza baja,Pasto cultivado enmalezado,Lateritas Formacion Volcanica,0.0,94.8,135.4,214.9,240.7,485.0,640.5,0
1975.087036,41.42612457,Riesgo bajo,Pasto cultivado,Formacion Volcanica,0.0,8.6,13.8,27.0,27.0,55.2,150.0,0
1240.529175,35.56397629,Riesgo bajo,Zonas urbanas discontinuas,Lateritas Formacion Volcanica,53.0,157.0,217.0,256.0,343.0,390.0,565.0,1
1072.900391,13.32625198,Riesgo alto,Otras superficies artificiales sin construcción,Formacion Volcanica,0.0,104.0,184.0,260.0,446.0,553.0,711.0,1
1001.548401,18.41129494,Amenaza baja,Pasto cultivado,Formacion Jamundi,0.0,47.0,51.0,57.0,146.0,291.0,461.0,0
1847.818115,22.40505791,Riesgo bajo,Pasto cultivado,Lateritas Formacion Volcanica,5.0,4.6,4.6,24.8,100.2,135.2,142.2,0
1051.49646,26.07922554,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,0.0,54.0,54.0,54.0,83.0,231.0,331.0,1
1600.984985,44.27614212,Amenaza baja,Bosque mixto abierto alto de tierra firme,Formacion Volcanica,10.0,23.0,23.0,50.0,113.0,212.0,285.0,1
975.4558105,9.951165199,Riesgo bajo,Zonas urbanas continuas,Cono aluvial rio Melendez,0.0,2.0,2.0,2.6,24.8,66.7,196.8,0
1246.129028,24.03407097,Riesgo bajo,Otras superficies artificiales con construcción,Derrubios,0.0,17.6,17.6,18.6,79.0,294.4,556.8,0
1061.876465,23.10965157,Amenaza baja,Pasto cultivado enmalezado,Formacion Ferreira,0.0,1.0,1.0,4.2,32.9,53.2,130.1,0
1030.654663,66.0162735,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,1.2,100.8,113.0,205.0,315.2,386.6,530.0,1
1060.763184,25.7235527,Amenaza baja,Pasto cultivado arbolado,Cono aluvial 1 rio Pance,0.0,26.1,31.6,31.6,79.7,332.6,457.4,0
1013.302002,43.15719986,Amenaza baja,Arbustal y matorral abierto bajo de tierra firme,Formacion Jamundi,0.0,0.0,0.0,5.0,7.0,137.3,464.3,0
1096.2948,21.51670837,Amenaza baja,Bosque mixto denso bajo de tierra firme,Formacion Jamundi,0.0,4.0,4.0,4.0,10.0,49.0,120.0,0
989.6017456,18.54602623,Amenaza baja,Zonas urbanas discontinuas,Formacion Volcanica,1.2,100.8,113.0,205.0,315.2,386.6,530.0,1
1058.733154,28.83691978,Riesgo bajo,Pasto cultivado enmalezado,Formacion Volcanica,2.0,7.8,7.8,8.6,14.8,54.0,91.5,0
1074.321167,11.50967598,Amenaza baja,Bosque mixto abierto bajo de tierra firme,Formacion Jamundi,0.0,11.9,51.1,56.9,71.1,223.9,350.3,0
1015.538818,10.92916393,Amenaza baja,Ríos,Cono aluvial 2 rio Pance,6.0,14.0,14.0,71.0,307.0,538.0,687.0,0
1082.17334,50.38904953,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,0.0,168.0,207.0,239.0,571.0,735.0,845.0,1
1043.213867,28.31174469,Riesgo alto,Zonas urbanas continuas,Lateritas Formacion Volcanica,1.2,100.8,113.0,205.0,315.2,386.6,530.0,1
979.7841797,19.36191368,Riesgo bajo,Zonas urbanas continuas,Cono aluvial rio Melendez,0.0,0.0,1.4,2.0,2.7,58.1,62.1,0
1690.72937,14.36381626,Amenaza baja,Pino,Lateritas Formacion Volcanica,0.0,17.0,17.0,17.0,25.0,146.0,170.0,0
1050.011597,19.03824043,Riesgo alto,Zonas urbanas continuas,Formacion Guachinte,7.6,83.5,110.0,213.5,343.7,452.1,531.0,1
1792.852417,85.49398804,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,1.6,50.6,110.0,137.2,238.2,413.0,667.0,1
1023.285339,16.9596653,Riesgo medio,Zonas urbanas continuas,Formacion Volcanica,20.0,20.0,20.0,59.0,84.0,203.0,321.0,1
1080.625122,46.23978043,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,0.0,18.0,172.0,225.0,471.0,753.0,859.0,1
1089.696411,28.97308731,Amenaza baja,Bosque mixto denso bajo de tierra firme,Formacion Jamundi,0.0,2.0,2.0,2.0,28.0,95.0,204.0,0
987.7271118,25.7742939,Riesgo bajo,Zonas urbanas continuas,Formacion Guachinte,0.0,0.0,0.0,67.0,207.0,367.0,402.0,0
1005.251648,27.42802048,Riesgo medio,Zonas urbanas continuas,Formacion Volcanica,0.0,182.0,207.0,244.0,566.0,735.0,878.0,1
1186.479126,55.9787178,Riesgo medio,Zonas urbanas continuas,Formacion Volcanica,0.8,51.4,62.0,80.2,155.4,188.4,372.0,1
1014.625183,32.79048538,Riesgo bajo,Zonas urbanas continuas,Lateritas Formacion Volcanica,6.3,84.9,93.0,173.1,368.4,446.1,536.0,1
1172.414185,8.977776527,Riesgo medio,Zonas urbanas continuas,Lateritas Formacion Volcanica,30.0,153.0,184.0,218.0,350.0,408.0,600.0,1
973.2894287,3.669102669,Riesgo bajo,Zonas urbanas continuas,Cono aluvial rio Melendez,0.0,6.9,22.7,36.3,71.4,238.5,367.8,0
1072.255859,46.11437988,Amenaza baja,Bosque mixto abierto alto de tierra firme,Formacion Jamundi,0.0,11.9,11.9,57.0,71.2,208.8,349.1,0
1488.616699,10.58029461,Amenaza baja,Bosque mixto abierto alto de tierra firme,Lateritas Formacion Volcanica,0.0,0.0,0.0,0.0,0.0,256.0,621.0,0
1307.238647,22.07619858,Riesgo bajo,Otras superficies artificiales con construcción,Formacion Guachinte,1.0,7.0,7.2,24.6,264.2,294.8,309.2,0
1130.067871,40.12782669,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,14.0,197.0,210.0,366.0,583.0,746.0,908.0,1
1096.231323,44.03482056,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,14.0,56.0,143.0,233.0,428.0,592.0,750.0,1
1045.055176,31.10210037,Riesgo alto,Zonas urbanas continuas,Lateritas Formacion Volcanica,1.0,70.2,113.0,209.0,336.2,382.4,485.0,1
1086.769653,41.24207687,Riesgo alto,Zonas urbanas continuas,Formacion Guachinte,24.4,114.8,139.0,165.2,262.6,371.2,449.0,1
1085.382935,81.03557587,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,0.0,28.1,28.0,43.2,45.5,140.4,202.0,1
1108.37793,5.722303391,Amenaza baja,Bosque mixto fragmentado con pastos y cultivos,Formacion Ferreira,0.0,113.1,113.1,137.6,227.3,291.3,563.2,0
1354.476685,38.05532837,Riesgo medio,Zonas urbanas continuas,Formacion Volcanica,0.0,2.0,6.0,68.0,158.0,297.0,462.0,1
1183.754395,49.18910217,Riesgo medio,Zonas urbanas continuas,Formacion Volcanica,0.0,6.8,7.0,12.2,15.4,43.2,144.0,1
1074.333374,16.10298538,Riesgo medio,Zonas urbanas continuas,Formacion Volcanica,0.8,51.4,62.0,80.2,155.4,188.4,372.0,1
1144.681641,32.94062424,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,14.0,56.0,143.0,233.0,428.0,592.0,750.0,1
1052.237549,38.29735565,Riesgo medio,Otras superficies artificiales sin construcción,Formacion Volcanica,8.7,43.0,50.0,113.6,172.7,258.6,392.0,1
990.1463623,4.896905422,Riesgo bajo,Zonas urbanas discontinuas,Formacion Volcanica,1.2,100.8,113.0,205.0,315.2,386.6,530.0,1
1058.370361,70.90901947,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,10.0,167.0,188.0,313.0,456.0,536.0,694.0,1
1599.939087,78.53975677,Riesgo bajo,Otros cultivos arbustivos plantados abiertos,Formacion Volcanica,8.6,65.0,116.0,209.8,292.0,469.4,690.0,1
1910.642944,6.284516335,Riesgo bajo,Pasto cultivado,Lateritas Formacion Volcanica,0.0,79.2,79.2,85.4,114.0,241.8,302.2,0
1014.3479,24.16401672,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,0.0,0.0,0.0,0.7,21.3,60.7,64.9,0
1051.267334,10.83177757,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,0.0,54.0,54.0,54.0,83.0,231.0,331.0,1
1458.750122,6.963339806,Riesgo medio,Zonas urbanas continuas,Lateritas Formacion Volcanica,8.0,61.0,61.0,84.0,92.0,84.0,165.0,1
1084.843262,75.15090179,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,0.0,28.1,28.0,43.2,45.5,140.4,202.0,1
1053.985962,74.60374451,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,0.0,182.0,207.0,244.0,566.0,735.0,878.0,1
1028.278442,24.84938049,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,0.0,18.0,172.0,225.0,471.0,753.0,859.0,1
1080.931274,17.17210007,Riesgo alto,Zonas urbanas continuas,Formacion Guachinte,16.7,24.9,27.0,52.3,207.7,299.9,398.0,1
1034.310181,42.63407516,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,10.0,167.0,188.0,313.0,456.0,536.0,694.0,1
1072.46582,19.99803352,Amenaza baja,Pasto cultivado,Formacion Jamundi,2.0,48.5,52.2,57.0,110.3,240.1,370.4,0
1061.284058,51.97519684,Riesgo alto,Zonas urbanas continuas,Formacion Guachinte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1163.04895,17.59150505,Riesgo alto,Vegetación secundaria o transición,Lateritas Formacion Volcanica,0.0,53.0,129.0,149.0,174.0,332.0,399.0,1
1044.850708,13.02233124,Amenaza baja,Pasto cultivado,Formacion Jamundi,0.0,24.6,79.3,103.0,136.7,247.1,477.9,0
1071.533325,18.85442352,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,5.4,62.8,67.0,68.2,88.4,87.2,110.0,1
1101.572754,29.51818657,Amenaza baja,Bosque mixto abierto alto de tierra firme,Formacion Jamundi,0.0,0.0,0.0,26.1,42.1,208.5,427.6,0
1300.261841,70.75720215,Amenaza media,Zonas urbanas discontinuas,Formacion Guachinte,0.2,28.8,29.0,104.2,244.8,349.0,474.0,1
1046.072998,58.7633934,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,0.0,182.0,207.0,244.0,566.0,735.0,878.0,1
1676.377563,26.58774376,Riesgo bajo,Zonas urbanas continuas,Lateritas Formacion Volcanica,5.0,11.2,76.0,84.0,189.6,302.6,454.6,0
996.7855835,23.88170433,Riesgo bajo,Otras superficies artificiales sin construcción,Formacion Volcanica,0.0,0.6,18.4,18.4,63.9,152.1,233.9,0
976.1790771,12.02399445,Riesgo bajo,Otras superficies artificiales sin construcción,Depositos aluviales,0.0,102.2,103.4,130.6,182.0,203.5,215.5,0
1187.821167,34.13459015,Amenaza baja,Pasto cultivado enmalezado,Formacion Jamundi,0.0,0.4,12.6,14.8,266.8,498.8,742.2,0
1029.464233,66.02786255,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,10.0,167.0,188.0,313.0,456.0,536.0,694.0,1
1076.442261,38.38564682,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,12.3,21.6,74.0,103.9,176.0,312.6,390.0,1
1049.604248,12.10340405,Riesgo medio,Zonas urbanas continuas,Formacion Guachinte,6.7,95.5,128.0,187.2,370.2,573.6,611.0,1
1099.497681,63.93966675,Amenaza baja,Bosque mixto denso bajo de tierra firme,Formacion Jamundi,1.0,4.4,4.4,4.6,31.4,294.2,310.6,0
1165.661255,34.96780777,Riesgo alto,Zonas urbanas continuas,Formacion Guachinte,15.2,52.4,52.0,104.4,188.0,204.1,382.0,1
1782.700317,16.08185196,Amenaza alta,Bosque mixto denso alto de tierra firme,Lateritas Formacion Volcanica,8.0,43.0,72.0,99.0,188.0,269.0,335.0,1
1444.915283,35.63484573,Riesgo bajo,Pasto cultivado,Lateritas Formacion Volcanica,0.2,33.8,65.0,78.2,104.6,225.0,445.0,1
999.5701904,35.12570953,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,0.0,0.6,0.6,2.0,2.7,25.1,62.7,0
1710.031738,20.21956444,Riesgo bajo,Otros cultivos arbustivos plantados abiertos,Formacion Volcanica,4.0,5.2,5.2,17.0,72.6,75.2,140.0,0
1112.605591,15.69567013,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,0.0,75.0,95.0,114.0,348.0,828.0,873.0,1
1125.481201,9.575073242,Amenaza baja,Pasto cultivado arbolado,Formacion Jamundi,6.0,42.0,75.1,120.5,280.8,495.9,654.7,0
1102.080322,47.23944855,Riesgo alto,Zonas urbanas continuas,Formacion Guachinte,24.4,114.8,139.0,165.2,262.6,371.2,449.0,1
1245.830078,14.98416805,Riesgo bajo,Zonas urbanas discontinuas,Lateritas Formacion Volcanica,53.0,157.0,217.0,256.0,343.0,390.0,565.0,1
1807.132813,36.58799362,Amenaza media,Bosque mixto denso alto de tierra firme,Lateritas Formacion Volcanica,23.0,117.2,154.0,179.4,243.0,372.4,432.0,1
990.2617798,12.735116,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,10.0,193.0,218.0,311.0,583.0,735.0,918.0,1
1038.599487,28.27173233,Amenaza baja,Arbustal y matorral abierto bajo de tierra firme,Formacion Jamundi,12.0,27.0,74.0,134.0,153.0,234.0,394.0,0
